$ adb shell ps -A
USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           546     2          0      0 0                   0 I [kworker/R-tmem_regmgr_defer_off_8]
root           547     2          0      0 0                   0 I [kworker/R-tmem_regmgr_defer_off_12]
root           548     2          0      0 0                   0 I [kworker/R-tmem_regmgr_defer_off_13]
root           549     2          0      0 0                   0 I [kworker/R-tmem_regmgr_defer_off_16]
root           550     2          0      0 0                   0 I [kworker/R-tmem_regmgr_defer_off_17]
root           551     2          0      0 0                   0 S [jbd2/sdc29-8]
root           552     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           556     2          0      0 0                   0 S [jbd2/sdc28-8]
root           557     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           561     2          0      0 0                   0 I [kworker/R-thermal_task]
root           562     2          0      0 0                   0 S [jbd2/sdc2-8]
root           563     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           567     2          0      0 0                   0 I [kworker/R-SSPM_WQ]
root           568     2          0      0 0                   0 I [kworker/R-sspm_ts_wq]
root           569     2          0      0 0                   0 S [jbd2/sdc3-8]
root           570     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           572     2          0      0 0                   0 I [kworker/R-ged_notify_sw_vsync]
root           573     2          0      0 0                   0 I [kworker/R-ged_kpi]
root           574     2          0      0 0                   0 I [kworker/R-ged_fence]
root           575     2          0      0 0                   0 S [irq/441-MBOX_SCP_ISR]
root           576     2          0      0 0                   0 S [irq/442-MBOX_SCP_ISR]
root           577     2          0      0 0                   0 S [irq/443-MBOX_SCP_ISR]
root           578     2          0      0 0                   0 S [irq/444-MBOX_SCP_ISR]
root           580     2          0      0 0                   0 I [kworker/R-SCP_WQ]
root           581     2          0      0 0                   0 I [kworker/R-SCP_LOG_WQ]
root           582     2          0      0 0                   0 I [kworker/R-SCP_RESET_WQ]
root           583     2          0      0 0                   0 I [kworker/R-SCP_THERMAL_WQ]
root           585     2          0      0 0                   0 S [jbd2/sdc57-8]
root           586     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           587     2          0      0 0                   0 I [kworker/R-free_pages_workq]
root           588     2          0      0 0                   0 I [kworker/R-kbase_job_fault_resume_work_que]
root           592     2          0      0 0                   0 I [kworker/R-ccmni0_rx_q_worker]
root           593     2          0      0 0                   0 I [kworker/R-ccmni1_rx_q_worker]
root           594     2          0      0 0                   0 I [kworker/R-ccmni2_rx_q_worker]
root           595     2          0      0 0                   0 I [kworker/R-ccmni3_rx_q_worker]
root           596     2          0      0 0                   0 I [kworker/R-ccmni4_rx_q_worker]
root           597     2          0      0 0                   0 I [kworker/R-ccmni5_rx_q_worker]
root           598     2          0      0 0                   0 I [kworker/R-ccmni6_rx_q_worker]
root           599     2          0      0 0                   0 I [kworker/R-ccmni7_rx_q_worker]
root           600     2          0      0 0                   0 I [kworker/R-ccmni8_rx_q_worker]
root           601     2          0      0 0                   0 I [kworker/R-ccmni9_rx_q_worker]
root           602     2          0      0 0                   0 I [kworker/R-ccmni10_rx_q_worker]
root           603     2          0      0 0                   0 I [kworker/R-ccmni11_rx_q_worker]
root           604     2          0      0 0                   0 I [kworker/R-ccmni12_rx_q_worker]
root           605     2          0      0 0                   0 I [kworker/R-ccmni13_rx_q_worker]
root           606     2          0      0 0                   0 I [kworker/R-ccmni14_rx_q_worker]
root           607     2          0      0 0                   0 I [kworker/R-ccmni15_rx_q_worker]
root           608     2          0      0 0                   0 I [kworker/R-ccmni16_rx_q_worker]
root           609     2          0      0 0                   0 I [kworker/R-ccmni17_rx_q_worker]
root           610     2          0      0 0                   0 I [kworker/R-ccmni18_rx_q_worker]
root           611     2          0      0 0                   0 I [kworker/R-ccmni19_rx_q_worker]
root           612     2          0      0 0                   0 I [kworker/R-ccmni20_rx_q_worker]
root           614     2          0      0 0                   0 I [kworker/R-ccmni21_rx_q_worker]
root           615     1    2270412   3520 0                   0 S iod
root           616     2          0      0 0                   0 I [kworker/R-ccmni22_rx_q_worker]
root           617     2          0      0 0                   0 I [kworker/R-ccmni23_rx_q_worker]
root           618     2          0      0 0                   0 I [kworker/R-ccmni24_rx_q_worker]
root           619     2          0      0 0                   0 I [kworker/R-ccmni25_rx_q_worker]
root           620     2          0      0 0                   0 I [kworker/R-ccmni26_rx_q_worker]
root           621     2          0      0 0                   0 I [kworker/R-ccmni27_rx_q_worker]
root           622     2          0      0 0                   0 I [kworker/R-ccmni28_rx_q_worker]
root           623     2          0      0 0                   0 I [kworker/R-ccmni29_rx_q_worker]
root           627     2          0      0 0                   0 I [kworker/R-pool_reload_work]
root           628     2          0      0 0                   0 S [ccci_fsm]
root           629     2          0      0 0                   0 D [ccci_poll]
root           630     2          0      0 0                   0 S [ccci_rpc_k]
root           632     2          0      0 0                   0 S [ccci_udc]
root           633     2          0      0 0                   0 S [ccci_ipc_3]
root           634     2          0      0 0                   0 S [ccci_ipc_6]
root           635     2          0      0 0                   0 S [ccci_ipc_7]
root           636     2          0      0 0                   0 S [ccci_ipc_8]
